Location,LocationResultCount,Latitude,Longitude,URL,ImageURL,Title
"Sumenep, Jawa Timur, Indonesia",1,-7.0167,113.8670,"https://sumenep.pikiran-rakyat.com/nasional/pr-2188849297/tinggi-badan-aisar-khaled-berapa-fuji-seperti-anak-kecil-di-tatapan-aisar","https://assets.pikiran-rakyat.com/crop/0x0:0x0/1200x675/photo/2024/12/05/4220933919.jpg","Tinggi Badan Aisar Khaled Berapa ? Fuji Seperti Anak Kecil di Tatapan Aisar"
"Cibolang, Jawa Barat, Indonesia",1,-7.0214,107.2540,"https://www.antaranews.com/berita/4517647/jusuf-kalla-saksikan-penyerahan-donasi-bencana-dari-pt-aqua-ke-pmi","https://cdn.antaranews.com/cache/1200x800/2024/12/07/PMI-Donasi-Aqua.jpg","Jusuf Kalla saksikan penyerahan donasi bencana dari PT Aqua ke PMI"
"Gowa, Jawa Timur, Indonesia",1,-7.0487,112.4050,"https://otomotif.kompas.com/read/2024/12/06/110200215/pasar-menantang-hyundai-sambut-positif-rencana-insentif-mobil-hybrid","https://asset.kompas.com/crops/eVpU_vb7Cetg7CBILqMPv9is8Pg=/128x85:1152x768/780x390/filters:watermark(data/photo/2020/03/10/5e6775c2256d6.png,0,-0,1)/data/photo/2024/12/05/6750ef5627c6d.jpg","Pasar Menantang , Hyundai Sambut Positif Rencana Insentif Mobil Hybrid"
"Laok, Jawa Timur, Indonesia",1,-7.0650,113.4980,"https://www.viva.co.id/berita/nasional/1778978-terpopuler-mobil-rafael-alun-yang-dilelang-kpk-tak-terawat-pria-bunuh-istri-lalu-bacok-mertua","https://thumb.viva.co.id/media/frontend/thumbs3/2024/12/05/67514756d265f-kpk-melelang-mobil-hasil-rampasan-dari-para-koruptor_665_374.jpg","Terpopuler : Mobil Rafael Alun yang Dilelang KPK Tak Terawat , Pria Bunuh Istri Lalu Bacok Mertua"
"Pendem, Jawa Tengah, Indonesia",1,-7.0725,110.8950,"https://jogjapolitan.harianjogja.com/read/2024/12/06/510/1197152/kampung-dan-desa-wisata-didorong-untuk-menerapkan-pariwisata-berkelanjutan-untuk-menarik-wisatawan","","Kampung dan Desa Wisata Didorong untuk Menerapkan Pariwisata Berkelanjutan untuk Menarik Wisatawan"
"Cisaat, Jawa Barat, Indonesia",1,-7.0794,107.4520,"https://www.antaranews.com/berita/4517647/jusuf-kalla-saksikan-penyerahan-donasi-bencana-dari-pt-aqua-ke-pmi","https://cdn.antaranews.com/cache/1200x800/2024/12/07/PMI-Donasi-Aqua.jpg","Jusuf Kalla saksikan penyerahan donasi bencana dari PT Aqua ke PMI"
"Rejowinangun, Jawa Tengah, Indonesia",1,-7.0882,110.2280,"https://jogjapolitan.harianjogja.com/read/2024/12/06/510/1197152/kampung-dan-desa-wisata-didorong-untuk-menerapkan-pariwisata-berkelanjutan-untuk-menarik-wisatawan","","Kampung dan Desa Wisata Didorong untuk Menerapkan Pariwisata Berkelanjutan untuk Menarik Wisatawan"
"Socah, Jawa Timur, Indonesia",1,-7.0913,112.7080,"https://www.viva.co.id/berita/nasional/1778978-terpopuler-mobil-rafael-alun-yang-dilelang-kpk-tak-terawat-pria-bunuh-istri-lalu-bacok-mertua","https://thumb.viva.co.id/media/frontend/thumbs3/2024/12/05/67514756d265f-kpk-melelang-mobil-hasil-rampasan-dari-para-koruptor_665_374.jpg","Terpopuler : Mobil Rafael Alun yang Dilelang KPK Tak Terawat , Pria Bunuh Istri Lalu Bacok Mertua"
"Sarwo, Jawa Tengah, Indonesia",1,-7.1394,110.4270,"https://ponorogo.pikiran-rakyat.com/seputar-ponorogo/pr-3138850473/ini-yang-bakal-dilakukan-pemda-usai-reog-ditetapkan-sebagai-warisan-budaya-tak-benda-dunia","https://assets.pikiran-rakyat.com/crop/0x0:0x0/1200x675/photo/2024/12/06/121917189.jpg","Ini yang Bakal Dilakukan Pemda Usai Reog Ditetapkan Sebagai Warisan Budaya Tak benda Dunia"
"Jembar, Jawa Tengah, Indonesia",1,-7.1689,111.1970,"https://kabarcirebon.pikiran-rakyat.com/ciayumajakuning/pr-2938850944/dua-hari-penghitungan-suara-kpu-kuningan-dirahmati-unggul-pilkada-dengan-kuasai-15-kecamatan","https://assets.pikiran-rakyat.com/crop/0x0:0x0/1200x675/photo/2024/12/06/1368994205.jpg","Dua Hari Penghitungan Suara KPU Kuningan , Dirahmati Unggul Pilkada dengan Kuasai 15 Kecamatan"
"Cikampek, Jawa Barat, Indonesia",1,-7.1922,107.0410,"https://www.liputan6.com/bisnis/read/5822294/kemahalan-pengusaha-logistik-minta-tarif-tol-cibitung-cilincing-dipangkas","https://cdn0-production-images-kly.akamaized.net/a9uU9WY2dLhVSzTuMy0gjC83Or4=/1200x675/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/4878710/original/077033600_1719652003-20240629-Jalan_Tol_Cibitung-MER_1.jpg","Kemahalan , Pengusaha Logistik Minta Tarif Tol Cibitung - Cilincing Dipangkas"
"Cibadak, Jawa Barat, Indonesia",1,-7.1951,107.3630,"https://www.tabloidbintang.com/film-tv-musik/201175-raffi-ahmad-resmikan-sams-studios-di-sukabumi-bioskop-karya-anak-bangsa","https://asset.tabloidbintang.com/img/1733436521_1dc408a3208a2c3edf8f.jpeg","Raffi Ahmad Resmikan Sam Studios di Sukabumi , Bioskop Karya Anak Bangsa"
"Dharma, Jawa Timur, Indonesia",1,-7.2124,113.3440,"https://www.kompas.com/food/read/2024/12/06/222756775/criollo-resto-serba-cokelat-di-jakarta-yang-hadirkan-menu-gurih","https://asset.kompas.com/crops/IWhKKVAtEWAXfOctJLAcc-LRbRA=/357x627:3690x2848/780x390/filters:watermark(data/photo/2020/03/10/5e6775dc18fcf.png,0,-0,1)/data/photo/2024/12/06/675314edc35ba.jpg","Criollo , Resto Serba Cokelat di Jakarta yang Hadirkan Menu Gurih"
"Sarimukti, Jawa Barat, Indonesia",1,-7.2277,107.7650,"https://en.antaranews.com/news/337246/ministry-calls-for-regional-commitment-on-tackling-waste","https://cdn.antaranews.com/cache/1200x800/2024/12/06/WhatsApp-Image-2024-12-06-at-17.33.27.jpeg","Ministry calls for regional commitment on tackling waste"
"Namas, Jawa Barat, Indonesia",1,-7.2507,108.3810,"https://www.wmxv1015.com/news/17f80899174.html","","MUSANGWIN . at777slotscom . hiwin 777 apk - apk go win slot"
"Airlangga, Jawa Timur, Indonesia",1,-7.2752,112.7570,"https://beritajatim.com/ribut-wijoto-ingin-bangun-dekesda-jadi-pusat-kesenian","https://beritajatim.com/cdn-cgi/image/width=900,height=600,fit=crop,quality=80,format=auto,onerror=redirect,metadata=none/wp-content/uploads/2024/12/Foto-1-Ribut-Wijoto_11zon-1_11zon.webp","Ribut Wijoto Ingin Bangun Dekesda Jadi Pusat Kesenian"
